name,genre,platform,year_of_release,publisher,rating
Grand Theft Auto: Liberty City Stories,Action,PSP,2005.0,Take-Two Interactive,M
Call of Duty: Advanced Warfare,Shooter,PS4,2014.0,Activision,M
FIFA 17,Sports,PS4,2016.0,Electronic Arts,E
Super Mario Galaxy 2,Platform,Wii,2010.0,Nintendo,E
Call of Duty: World at War,Shooter,X360,2008.0,Activision,M
Battlefield 3,Shooter,X360,2011.0,Electronic Arts,M
Need for Speed Underground,Racing,PS2,2003.0,Electronic Arts,E
Just Dance,Misc,Wii,2009.0,Ubisoft,E10+
Battlefield 3,Shooter,PS3,2011.0,Electronic Arts,M
Fallout 4,Role-Playing,PS4,2015.0,Bethesda Softworks,M
Tekken 3,Fighting,PS,1998.0,Sony Computer Entertainment,T
The Legend of Zelda: Twilight Princess,Action,Wii,2006.0,Nintendo,T
Crash Bandicoot 3: Warped,Platform,PS,1998.0,Sony Computer Entertainment,E
Mario Kart 8,Racing,WiiU,2014.0,Nintendo,E
Super Smash Bros. Melee,Fighting,GC,2001.0,Nintendo,T
Need for Speed Underground 2,Racing,PS2,2004.0,Electronic Arts,E
Medal of Honor: Frontline,Shooter,PS2,2002.0,Electronic Arts,T
Just Dance 4,Misc,Wii,2012.0,Ubisoft,E10+
Gears of War 2,Shooter,X360,2008.0,Microsoft Game Studios,M
Uncharted 3: Drake's Deception,Action,PS3,2011.0,Sony Computer Entertainment,T
Zumba Fitness,Sports,Wii,2010.0,505 Games,E
Call of Duty 4: Modern Warfare,Shooter,PS3,2007.0,Activision,M
Uncharted 2: Among Thieves,Action,PS3,2009.0,Sony Computer Entertainment,T
Big Brain Academy,Misc,DS,2005.0,Nintendo,E
Red Dead Redemption,Action,PS3,2010.0,Take-Two Interactive,M
FIFA 14,Sports,PS3,2013.0,Electronic Arts,E
Assassin's Creed III,Action,PS3,2012.0,Ubisoft,M
Donkey Kong Country Returns,Platform,Wii,2010.0,Nintendo,E
Halo: Combat Evolved,Shooter,XB,2001.0,Microsoft Game Studios,M
The Elder Scrolls V: Skyrim,Role-Playing,PS3,2011.0,Bethesda Softworks,M
Pokémon Emerald Version,Role-Playing,GBA,2004.0,Nintendo,E
Kingdom Hearts,Role-Playing,PS2,2002.0,Sony Computer Entertainment,E
Halo 3: ODST,Shooter,X360,2009.0,Microsoft Game Studios,M
Red Dead Redemption,Action,X360,2010.0,Take-Two Interactive,M
Super Mario Sunshine,Platform,GC,2002.0,Nintendo,E
World of Warcraft,Role-Playing,PC,2004.0,Activision,T
Driver,Action,PS,1999.0,GT Interactive,T
Gears of War 3,Shooter,X360,2011.0,Microsoft Game Studios,M
Kinect Sports,Sports,X360,2010.0,Microsoft Game Studios,E10+
Gears of War,Shooter,X360,2006.0,Microsoft Game Studios,M
FIFA 15,Sports,PS4,2014.0,Electronic Arts,E
Metal Gear Solid 2: Sons of Liberty,Action,PS2,2001.0,Konami Digital Entertainment,M
Metal Gear Solid,Action,PS,1998.0,Konami Digital Entertainment,M
Metal Gear Solid 4: Guns of the Patriots,Action,PS3,2008.0,Konami Digital Entertainment,M
Final Fantasy XII,Role-Playing,PS2,2006.0,Square Enix,T
The Last of Us,Action,PS3,2013.0,Sony Computer Entertainment Europe,M
LittleBigPlanet,Platform,PS3,2008.0,Sony Computer Entertainment,E
Resident Evil 2,Action,PS,1998.0,Virgin Interactive,M
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,DS,2009.0,Nintendo,E10+
Tekken 2,Fighting,PS,1996.0,Sony Computer Entertainment,T
Destiny,Shooter,PS4,2014.0,Activision,T
LEGO Star Wars: The Complete Saga,Action,Wii,2007.0,LucasArts,E10+
Cooking Mama,Simulation,DS,2006.0,505 Games,E
Assassin's Creed II,Action,PS3,2009.0,Ubisoft,M
Assassin's Creed,Adventure,X360,2007.0,Ubisoft,M
Forza Motorsport 3,Racing,X360,2009.0,Microsoft Game Studios,E
Super Mario Advance,Platform,GBA,2001.0,Nintendo,E
Monster Hunter Freedom Unite,Role-Playing,PSP,2008.0,Capcom,T
Batman: Arkham City,Action,PS3,2011.0,Warner Bros. Interactive Entertainment,T
Grand Theft Auto V,Action,XOne,2014.0,Take-Two Interactive,M
Mario Kart: Super Circuit,Racing,GBA,2001.0,Nintendo,E
Crash Bandicoot: The Wrath of Cortex,Platform,PS2,2001.0,Universal Interactive,E
Call of Duty: World at War,Shooter,PS3,2008.0,Activision,M
Uncharted 4: A Thief's End,Shooter,PS4,2016.0,Sony Computer Entertainment,T
Final Fantasy XIII,Role-Playing,PS3,2009.0,Square Enix,T
Final Fantasy IX,Role-Playing,PS,2000.0,SquareSoft,T
Assassin's Creed III,Action,X360,2012.0,Ubisoft,M
Final Fantasy X-2,Role-Playing,PS2,2003.0,Electronic Arts,T
Call of Duty: Advanced Warfare,Shooter,XOne,2014.0,Activision,M
Assassin's Creed II,Action,X360,2009.0,Ubisoft,M
Tomb Raider II,Action,PS,1997.0,Eidos Interactive,T
New Super Mario Bros. U,Platform,WiiU,2012.0,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,PS2,2004.0,Square Enix,T
Professor Layton and the Curious Village,Puzzle,DS,2007.0,Nintendo,E
FIFA Soccer 13,Action,X360,2012.0,Electronic Arts,E
Diablo III,Role-Playing,PC,2012.0,Activision,M
Medal of Honor: Rising Sun,Shooter,PS2,2003.0,Electronic Arts,T
Guitar Hero II,Misc,PS2,2006.0,RedOctane,T
Fable III,Role-Playing,X360,2010.0,Microsoft Game Studios,M
Resident Evil 5,Action,PS3,2009.0,Capcom,M
The Legend of Zelda: Phantom Hourglass,Action,DS,2007.0,Nintendo,E
FIFA Soccer 11,Sports,PS3,2010.0,Electronic Arts,E
Resident Evil,Action,PS,1996.0,Virgin Interactive,M
Grand Theft Auto: Vice City Stories,Action,PSP,2006.0,Take-Two Interactive,M
Tony Hawk's Pro Skater,Sports,PS,1999.0,Activision,T
Guitar Hero III: Legends of Rock,Misc,PS2,2007.0,Activision,T
Link's Crossbow Training,Shooter,Wii,2007.0,Nintendo,T
Fallout 3,Role-Playing,X360,2008.0,Bethesda Softworks,M
Uncharted: Drake's Fortune,Action,PS3,2007.0,Sony Computer Entertainment,T
Madden NFL 06,Sports,PS2,2005.0,Electronic Arts,E
StarCraft II: Wings of Liberty,Strategy,PC,2010.0,Activision,T
Assassin's Creed,Adventure,PS3,2007.0,Ubisoft,M
God of War III,Action,PS3,2010.0,Sony Computer Entertainment,M
Crash Team Racing,Racing,PS,1999.0,Sony Computer Entertainment,E
LEGO Star Wars: The Complete Saga,Action,DS,2007.0,LucasArts,E
Driver 2,Action,PS,2000.0,Atari,T
Batman: Arkham City,Action,X360,2011.0,Warner Bros. Interactive Entertainment,T
Tony Hawk's Pro Skater 2,Sports,PS,2000.0,Activision,T
The Lord of the Rings: The Two Towers,Action,PS2,2002.0,Electronic Arts,T
Tomb Raider,Action,PS,1996.0,Eidos Interactive,T
Animal Crossing: City Folk,Simulation,Wii,2008.0,Nintendo,E
Uncharted: The Nathan Drake Collection,Action,PS4,2015.0,Sony Computer Entertainment,T
The Legend of Zelda: The Wind Waker,Action,GC,2002.0,Nintendo,E
Guitar Hero III: Legends of Rock,Misc,Wii,2007.0,Activision,T
Luigi's Mansion: Dark Moon,Action,3DS,2013.0,Nintendo,E
Forza Motorsport 4,Racing,X360,2011.0,Microsoft Game Studios,E
Madden NFL 2005,Sports,PS2,2004.0,Electronic Arts,E
Guitar Hero III: Legends of Rock,Misc,X360,2007.0,Activision,T
Madden NFL 07,Sports,PS2,2006.0,Electronic Arts,E
Halo 5: Guardians,Shooter,XOne,2015.0,Microsoft Game Studios,T
Spider-Man: The Movie,Action,PS2,2002.0,Activision,E
Call of Duty: Infinite Warfare,Shooter,PS4,2016.0,Activision,M
God of War,Action,PS2,2005.0,Sony Computer Entertainment,M
Splatoon,Shooter,WiiU,2015.0,Nintendo,E10+
Nintendo Land,Misc,WiiU,2012.0,Nintendo,E10+
Tony Hawk's Pro Skater 3,Sports,PS2,2001.0,Activision,T
Winning Eleven: Pro Evolution Soccer 2007,Sports,PS2,2006.0,Konami Digital Entertainment,E
The Elder Scrolls IV: Oblivion,Role-Playing,X360,2006.0,Take-Two Interactive,M
Need for Speed: Most Wanted,Racing,PS2,2005.0,Electronic Arts,T
Michael Jackson: The Experience,Misc,Wii,2010.0,Ubisoft,E10+
Call of Duty: Advanced Warfare,Shooter,PS3,2014.0,Activision,M
Resistance: Fall of Man,Shooter,PS3,2006.0,Sony Computer Entertainment,M
Kingdom Hearts II,Role-Playing,PS2,2005.0,Square Enix,E10+
Super Mario 3D World,Platform,WiiU,2013.0,Nintendo,E
Call of Duty: Advanced Warfare,Shooter,X360,2014.0,Activision,M
FIFA 15,Sports,PS3,2014.0,Electronic Arts,E
Fable II,Role-Playing,X360,2008.0,Microsoft Game Studios,M
Namco Museum,Misc,GBA,2001.0,Namco Bandai Games,E
Batman: Arkham Asylum,Action,PS3,2009.0,Eidos Interactive,T
Metal Gear Solid 3: Snake Eater,Action,PS2,2004.0,Konami Digital Entertainment,M
Assassin's Creed: Revelations,Action,PS3,2011.0,Ubisoft,M
Fallout 4,Role-Playing,XOne,2015.0,Bethesda Softworks,M
FIFA 14,Sports,X360,2013.0,Electronic Arts,E
Daxter,Platform,PSP,2006.0,Sony Computer Entertainment,E10+
FIFA Soccer 06,Sports,PS2,2005.0,Electronic Arts,E
EyeToy Play,Misc,PS2,2003.0,Sony Computer Entertainment,E
Gran Turismo 5 Prologue,Racing,PS3,2007.0,Sony Computer Entertainment,E
Assassin's Creed: Revelations,Action,X360,2011.0,Ubisoft,M
Street Fighter IV,Fighting,PS3,2009.0,Capcom,T
Madden NFL 2003,Sports,PS2,2002.0,Electronic Arts,E
Half-Life,Shooter,PC,1997.0,Vivendi Games,M
World of Warcraft: The Burning Crusade,Role-Playing,PC,2007.0,Activision,T
Battlefield 1,Shooter,PS4,2016.0,Electronic Arts,M
God of War II,Action,PS2,2007.0,Sony Computer Entertainment,M
World Soccer Winning Eleven 9,Sports,PS2,2005.0,Konami Digital Entertainment,E
Fallout: New Vegas,Role-Playing,X360,2010.0,Bethesda Softworks,M
Forza Motorsport 2,Racing,X360,2007.0,Microsoft Game Studios,E
Carnival Games,Misc,Wii,2007.0,Take-Two Interactive,E
Watch Dogs,Action,PS4,2014.0,Ubisoft,M
Tekken Tag Tournament,Fighting,PS2,2000.0,Namco Bandai Games,T
Far Cry 4,Shooter,PS4,2014.0,Ubisoft,M
Namco Museum: 50th Anniversary,Misc,PS2,2005.0,Namco Bandai Games,E10+
Left 4 Dead 2,Shooter,X360,2009.0,Electronic Arts,M
The Witcher 3: Wild Hunt,Role-Playing,PS4,2015.0,Namco Bandai Games,M
Assassin's Creed: Unity,Action,PS4,2014.0,Ubisoft,M
Batman: Arkham Knight,Action,PS4,2015.0,Warner Bros. Interactive Entertainment,M
The Legend of Zelda: Skyward Sword,Action,Wii,2011.0,Nintendo,E10+
Fallout 3,Role-Playing,PS3,2008.0,Bethesda Softworks,M
Professor Layton and the Diabolical Box,Puzzle,DS,2007.0,Nintendo,E10+
EA Sports Active,Sports,Wii,2009.0,Electronic Arts,E
Tony Hawk's Underground,Sports,PS2,2003.0,Activision,T
Monster Hunter 4 Ultimate,Role-Playing,3DS,2014.0,Nintendo,T
The Elder Scrolls V: Skyrim,Role-Playing,PC,2011.0,Bethesda Softworks,M
NBA 2K16,Sports,PS4,2015.0,Take-Two Interactive,E10+
Tekken 5,Fighting,PS2,2005.0,Namco Bandai Games,T
MotorStorm,Racing,PS3,2006.0,Sony Computer Entertainment,T
World Soccer Winning Eleven 8 International,Sports,PS2,2004.0,Konami Digital Entertainment,E
Sports Champions,Sports,PS3,2010.0,Sony Computer Entertainment,E10+
Call of Duty: Ghosts,Shooter,PS4,2013.0,Activision,M
Flash Focus: Vision Training in Minutes a Day,Misc,DS,2007.0,Nintendo,E
Tom Clancy's The Division,Shooter,PS4,2016.0,Ubisoft,M
Big Brain Academy: Wii Degree,Misc,Wii,2007.0,Nintendo,E
LEGO Indiana Jones: The Original Adventures,Action,X360,2008.0,Activision,E10+
The Sims: Unleashed,Simulation,PC,2002.0,Electronic Arts,T
Harry Potter and the Sorcerer's Stone,Action,PS,2001.0,Electronic Arts,E
Super Paper Mario,Platform,Wii,2007.0,Nintendo,E
Spyro: Year of the Dragon,Platform,PS,2000.0,Sony Computer Entertainment,E
Assassin's Creed IV: Black Flag,Action,PS3,2013.0,Ubisoft,M
FIFA Soccer 2005,Sports,PS2,2004.0,Electronic Arts,E
Tony Hawk's Pro Skater 4,Sports,PS2,2002.0,Activision,T
MySims,Simulation,DS,2007.0,Electronic Arts,E
Midnight Club 3: DUB Edition,Racing,PSP,2005.0,Take-Two Interactive,E10+
SOCOM: U.S. Navy SEALs,Shooter,PS2,2002.0,Sony Computer Entertainment,M
Jak and Daxter: The Precursor Legacy,Platform,PS2,2001.0,Sony Computer Entertainment,E
Pro Evolution Soccer 2008,Sports,PS2,2007.0,Konami Digital Entertainment,E
Resident Evil 4,Action,PS2,2005.0,Capcom,M
Guitar Hero: World Tour,Misc,Wii,2008.0,Activision,T
FIFA Soccer 10,Sports,PS3,2009.0,Electronic Arts,E
Star Wars: Battlefront,Shooter,PS2,2004.0,LucasArts,T
The Simpsons: Road Rage,Racing,PS2,2001.0,Electronic Arts,T
Luigi's Mansion,Action,GC,2001.0,Nintendo,E
Battlefield 4,Shooter,PS4,2013.0,Electronic Arts,M
Star Wars: Battlefront II,Shooter,PS2,2005.0,LucasArts,T
Just Dance 2014,Misc,Wii,2013.0,Ubisoft,E10+
Cooking Mama 2: Dinner With Friends,Simulation,DS,2007.0,505 Games,E
Grand Theft Auto: Liberty City Stories,Action,PS2,2006.0,Take-Two Interactive,M
The Getaway,Action,PS2,2002.0,Sony Computer Entertainment,M
James Bond 007: Agent Under Fire,Shooter,PS2,2001.0,Electronic Arts,T
FIFA Soccer 11,Sports,X360,2010.0,Electronic Arts,E
Left 4 Dead,Shooter,X360,2008.0,Electronic Arts,M
Assassin's Creed: Unity,Action,XOne,2014.0,Ubisoft,M
Resident Evil 5,Action,X360,2009.0,Capcom,M
Assassin's Creed: Brotherhood,Action,X360,2010.0,Ubisoft,M
Battlefield 4,Shooter,PS3,2013.0,Electronic Arts,M
Batman: Arkham Asylum,Action,X360,2009.0,Eidos Interactive,T
Battlefield 4,Shooter,X360,2013.0,Electronic Arts,M
Battlefield: Bad Company 2,Shooter,X360,2010.0,Electronic Arts,M
Guitar Hero: On Tour,Misc,DS,2008.0,Activision,E10+
Clubhouse Games,Misc,DS,2006.0,Nintendo,E
Borderlands,Shooter,X360,2009.0,Take-Two Interactive,M
Tekken 4,Fighting,PS2,2002.0,Namco Bandai Games,T
Grand Theft Auto 2,Action,PS,1998.0,Take-Two Interactive,T
Metal Gear Solid V: The Phantom Pain,Action,PS4,2015.0,Konami Digital Entertainment,M
Spider-Man 2,Action,PS2,2004.0,Activision,T
FIFA Soccer 2003,Sports,PS2,2002.0,Electronic Arts,E
LittleBigPlanet 2,Platform,PS3,2011.0,Sony Computer Entertainment,E
Crash Bash,Misc,PS,2000.0,Sony Computer Entertainment,E
Assassin's Creed Syndicate,Action,PS4,2015.0,Ubisoft,M
LEGO Batman: The Videogame,Action,X360,2008.0,Warner Bros. Interactive Entertainment,E10+
Destiny,Shooter,XOne,2014.0,Activision,T
Far Cry 3,Shooter,PS3,2012.0,Ubisoft,M
James Bond 007: Nightfire,Shooter,PS2,2002.0,Electronic Arts,T
Star Wars Episode III: Revenge of the Sith,Action,PS2,2005.0,LucasArts,T
The Legend of Zelda: Spirit Tracks,Action,DS,2009.0,Nintendo,E10+
Max Payne,Shooter,PS2,2001.0,Take-Two Interactive,M
Assassin's Creed IV: Black Flag,Action,X360,2013.0,Ubisoft,M
The Lord of the Rings: The Return of the King,Action,PS2,2003.0,Electronic Arts,T
Gears of War: Ultimate Edition,Shooter,XOne,2015.0,Microsoft Game Studios,M
True Crime: Streets of LA,Action,PS2,2003.0,Activision,M
Professor Layton and the Unwound Future,Puzzle,DS,2008.0,Nintendo,E10+
FIFA 16,Sports,XOne,2015.0,Electronic Arts,E
Wii Music,Misc,Wii,2008.0,Nintendo,E
Madden NFL 16,Sports,PS4,2015.0,Electronic Arts,E
Gran Turismo 6,Racing,PS3,2013.0,Sony Computer Entertainment,E
Halo: The Master Chief Collection,Shooter,XOne,2014.0,Microsoft Game Studios,M
Super Mario Maker,Platform,WiiU,2015.0,Nintendo,E
God of War: Chains of Olympus,Action,PSP,2008.0,Sony Computer Entertainment,M
Enter the Matrix,Action,PS2,2003.0,Atari,T
Crisis Core: Final Fantasy VII,Role-Playing,PSP,2007.0,Square Enix,T
Dance Central,Misc,X360,2010.0,MTV Games,T
L.A. Noire,Adventure,PS3,2011.0,Take-Two Interactive,M
Ace Combat 04: Shattered Skies,Simulation,PS2,2001.0,Sony Computer Entertainment Europe,E
Animal Crossing,Simulation,GC,2001.0,Nintendo,E
FIFA Soccer 08,Sports,PS2,2007.0,Electronic Arts,E
Club Penguin: Elite Penguin Force,Adventure,DS,2008.0,Disney Interactive Studios,E
Spider-Man,Action,PS,2000.0,Activision,E
Mario Party 9,Misc,Wii,2012.0,Nintendo,E
Need for Speed III: Hot Pursuit,Racing,PS,1998.0,Electronic Arts,E
Sonic Rush,Platform,DS,2005.0,Sega,E
Rhythm Heaven,Misc,DS,2008.0,Nintendo,E
Fallout: New Vegas,Role-Playing,PS3,2010.0,Bethesda Softworks,M
Personal Trainer: Cooking,Misc,DS,2006.0,Nintendo,E
The Elder Scrolls IV: Oblivion,Role-Playing,PS3,2007.0,Ubisoft,M
The Legend of Zelda: A Link Between Worlds,Action,3DS,2013.0,Nintendo,E
Resident Evil 6,Shooter,PS3,2012.0,Capcom,M
Mass Effect 2,Role-Playing,X360,2010.0,Electronic Arts,M
Dragon Ball Z: Budokai,Fighting,PS2,2002.0,Atari,T
Madden NFL 2002,Sports,PS2,2001.0,Electronic Arts,E
The Sims: Vacation,Simulation,PC,2002.0,Electronic Arts,T
Animal Crossing: Happy Home Designer,Simulation,3DS,2015.0,Nintendo,E
The Sims 4,Simulation,PC,2014.0,Electronic Arts,T
Borderlands 2,Shooter,X360,2012.0,Take-Two Interactive,M
LEGO Batman: The Videogame,Action,DS,2008.0,Warner Bros. Interactive Entertainment,E10+
Kung Fu Panda,Action,X360,2008.0,Activision,E10+
Mass Effect 3,Role-Playing,X360,2012.0,Electronic Arts,M
Heavy Rain,Adventure,PS3,2010.0,Sony Computer Entertainment,M
Saints Row 2,Action,X360,2008.0,THQ,M
Tom Clancy's Splinter Cell,Action,XB,2002.0,Ubisoft,T
FIFA 14,Sports,PS4,2013.0,Electronic Arts,E
Killzone 2,Shooter,PS3,2009.0,Sony Computer Entertainment,M
Far Cry 3,Shooter,X360,2012.0,Ubisoft,M
Epic Mickey,Platform,Wii,2010.0,Disney Interactive Studios,E
NBA 2K13,Sports,X360,2012.0,Take-Two Interactive,E
Dragon Ball Z: Budokai Tenkaichi 3,Fighting,PS2,2007.0,Atari,T
The Sims: Livin Large,Misc,PC,2000.0,Electronic Arts,T
World Soccer Winning Eleven 6 International,Sports,PS2,2002.0,Konami Digital Entertainment,E
Devil May Cry,Action,PS2,2001.0,Capcom,M
Star Wars: The Old Republic,Role-Playing,PC,2011.0,Electronic Arts,T
Middle-Earth: Shadow of Mordor,Action,PS4,2014.0,Warner Bros. Interactive Entertainment,M
Sonic Heroes,Platform,PS2,2003.0,Sega,E
Hitman 2: Silent Assassin,Action,PS2,2002.0,Eidos Interactive,M
Titanfall,Shooter,XOne,2014.0,Electronic Arts,M
Battlefield: Bad Company 2,Shooter,PS3,2010.0,Electronic Arts,M
SOCOM II: U.S. Navy SEALs,Shooter,PS2,2003.0,Sony Computer Entertainment,M
Pac-Man Collection,Puzzle,GBA,2001.0,Atari,E
Street Fighter IV,Fighting,X360,2009.0,Capcom,T
inFAMOUS,Action,PS3,2009.0,Sony Computer Entertainment,T
Kirby Super Star Ultra,Platform,DS,2008.0,Nintendo,E
Call of Duty: Ghosts,Shooter,XOne,2013.0,Activision,M
FIFA 15,Sports,X360,2014.0,Electronic Arts,E
Mass Effect,Role-Playing,X360,2007.0,Microsoft Game Studios,M
Sonic Mega Collection Plus,Misc,PS2,2004.0,Sega,E
World Soccer Winning Eleven 7 International,Sports,PS2,2003.0,Konami Digital Entertainment,E
Sega Superstars Tennis,Sports,X360,2008.0,Sega,E10+
Hot Shots Golf 3,Sports,PS2,2001.0,Sony Computer Entertainment,E
Cooking Mama: Cook Off,Simulation,Wii,2007.0,505 Games,E
Call of Duty: Finest Hour,Shooter,PS2,2004.0,Activision,T
WarioWare: Smooth Moves,Puzzle,Wii,2006.0,Nintendo,E10+
Imagine: Babyz,Simulation,DS,2007.0,Ubisoft,E
Madden NFL 13,Sports,X360,2012.0,Electronic Arts,E
The Elder Scrolls III: Morrowind,Role-Playing,XB,2002.0,Ubisoft,T
Assassin's Creed IV: Black Flag,Action,PS4,2013.0,Ubisoft,M
Mortal Kombat,Fighting,PS3,2011.0,Warner Bros. Interactive Entertainment,M
Madden NFL 10,Sports,X360,2009.0,Electronic Arts,E
BioShock,Shooter,X360,2007.0,Take-Two Interactive,M
Metroid Prime,Shooter,GC,2002.0,Nintendo,T
Assassin's Creed: Brotherhood,Action,PS3,2010.0,Ubisoft,M
Finding Nemo,Action,GBA,2003.0,THQ,E
Zumba Fitness 2,Sports,Wii,2011.0,Majesco Entertainment,T
Medal of Honor,Shooter,PS3,2010.0,Electronic Arts,M
Imagine: Fashion Designer,Simulation,DS,2007.0,Ubisoft,E
inFAMOUS: Second Son,Action,PS4,2014.0,Sony Computer Entertainment,T
NBA Street,Sports,PS2,2001.0,Electronic Arts,E
Jak II,Platform,PS2,2003.0,Sony Computer Entertainment,T
Need for Speed: Hot Pursuit,Racing,PS3,2010.0,Electronic Arts,E10+
Skylanders: Spyro's Adventure,Action,Wii,2011.0,Activision,E10+
Battlefield 3,Shooter,PC,2011.0,Electronic Arts,M
Mortal Kombat X,Fighting,PS4,2015.0,Warner Bros. Interactive Entertainment,M
The Sims,Simulation,PS2,2003.0,Electronic Arts,T
Killzone 3,Shooter,PS3,2011.0,Sony Computer Entertainment,M
Star Wars: The Force Unleashed,Action,X360,2008.0,LucasArts,T
Yoshi's Island DS,Platform,DS,2006.0,Nintendo,E
Saints Row: The Third,Action,X360,2011.0,THQ,M
Tekken 6,Fighting,PS3,2009.0,Namco Bandai Games,T
Sonic and the Secret Rings,Platform,Wii,2007.0,Sega,E
FIFA 16,Sports,PS3,2015.0,Electronic Arts,E
The Legend of Zelda: A Link to the Past,Action,GBA,2002.0,Nintendo,E
Onimusha: Warlords,Action,PS2,2001.0,Virgin Interactive,M
L.A. Noire,Adventure,X360,2011.0,Take-Two Interactive,M
Call of Duty 3,Shooter,X360,2006.0,Activision,T
Madden NFL 12,Sports,X360,2011.0,Electronic Arts,E
LEGO Star Wars II: The Original Trilogy,Action,PS2,2006.0,LucasArts,E10+
Killzone: Shadow Fall,Shooter,PS4,2013.0,Sony Computer Entertainment,M
Madden NFL 11,Sports,X360,2010.0,Electronic Arts,E
Burnout 3: Takedown,Racing,PS2,2004.0,Electronic Arts,T
Mario vs. Donkey Kong: Mini-Land Mayhem!,Puzzle,DS,2010.0,Nintendo,E
Professor Layton and the Last Specter,Puzzle,DS,2009.0,Nintendo,E10+
Call Of Duty 2: Big Red One,Shooter,PS2,2005.0,Activision,T
Medal of Honor,Shooter,PS,1998.0,Electronic Arts,T
Fable,Role-Playing,XB,2004.0,Microsoft Game Studios,M
